"Prüfung","A:","Name","Note","age","TICKED:age","lAS1","TICKED:lAS1","lAS2","TICKED:lAS2","lAS3","TICKED:lAS3","lage","TICKED:lage","latent01","TICKED:latent01","latent02","TICKED:latent02","latent03","TICKED:latent03","latent04","TICKED:latent04","latent05","TICKED:latent05","latent06","TICKED:latent06","latent07","TICKED:latent07","latent08","TICKED:latent08","latent09","TICKED:latent09","latent10","TICKED:latent10","latent11","TICKED:latent11","latent12","TICKED:latent12","mAS1","TICKED:mAS1","mAS2","TICKED:mAS2","mAS3","TICKED:mAS3","mAS4","TICKED:mAS4","mAS5","TICKED:mAS5","polint","TICKED:polint","sex","TICKED:sex","v5a","TICKED:v5a"
"87","","?","0","","B","","D","","D","","D","","B","","D","","A","","C","","D","","A","","D","","D","","D","","D","","D","","A","","D","","D","","D","","D","","D","","D","","A","","A","","A"
"88","","?","0","","A","","D","","D","","D","","A","","C","","A","","A","","C","","D","","D","","C","","D","","C","","B","","D","","D","","E","","D","","D","","D","","D","","A","","A","","D"
"89","","?","0","","B","","C","","D","","D","","C","","D","","A","","A","","C","","A","","D","","D","","D","","D","","D","","A","","C","","D","","D","","D","","D","","D","","A","","A","","A"
"90","","?","0","","B","","E","","E","","D","","B","","A","","B","","B","","C","","B","","B","","A","","B","","B","","C","","B","","B","","D","","D","","D","","D","","D","","B","","B","","B"
"91","","?","0","","B","","B","","D","","D","","D","","A","","A","","B","","B","","B","","D","","C","","D","","B","","C","","B","","B","","D","","D","","D","","D","","D","","B","","B","","A"
"93","","?","0","","C","","","","","","","","B","","B","","C","","A","","A","","B","","D","","B","","C","","C","","C","","B","","B","","","","","","","","","","","","B","","B","","A"
"94","","?","0","","B","","C","","D","","D","","C","","B","","B","","A","","B","","B","","C","","E","","B","","B","","C","","B","","E","","D","","D","","D","","D","","D","","D","","B","","B"
"95","","?","0","","C","","D","","C","","D","","C","","B","","C","","B","","A","","C","","C","","B","","C","","B","","B","","A","","A","","C","","D","","D","","D","","C","","C","","B","","C"
"96","","?","0","","A","","D","","D","","D","","B","","B","","C","","A","","A","","B","","B","","A","","C","","C","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"97","","?","0","","B","","B","","D","","D","","B","","C","","C","","A","","B","","B","","B","","B","","D","","B","","B","","A","","B","","D","","D","","D","","D","","D","","C","","B","","C"
"98","","?","0","","D","","D","","D","","D","","A","","C","","D","","A","","C","","A","","D","","C","","D","","B","","E","","A","","B","","D","","D","","D","","D","","D","","C","","A","","A"
"99","","?","0","","B","","B","","D","","D","","C","","C","","C","","A","","B","","A","","A","","A","","D","","C","","D","","B","","A","","D","","D","","D","","D","","D","","B","","A","","B"
"100","","?","0","","B","","B","","C","","D","","B","","E","","B","","A","","C","","A","","D","","C","","E","","C","","D","","B","","C","","D","","D","","D","","D","","D","","A","","A","","B"
"101","","?","0","","B","","D","","D","","D","","B","","B","","C","","A","","B","","C","","D","","B","","E","","B","","C","","C","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"102","","?","0","","A","","C","","D","","D","","C","","E","","D","","A","","A","","A","","C","","A","","C","","A","","A","","B","","A","","D","","D","","D","","D","","D","","B","","A","","A"
"103","","?","0","","D","","E","","E","","E","","C","","B","","B","","B","","E","","E","","E","","E","","E","","E","","E","","E","","B","","E","","E","","E","","E","","E","","C","","B","","C"
"104","","?","0","","C","","C","","D","","D","","D","","A","","A","","A","","C","","A","","D","","B","","D","","B","","D","","C","","B","","D","","D","","D","","D","","D","","A","","B","","A"
"105","","?","0","","A","","E","","D","","E","","B","","E","","B","","B","","E","","C","","D","","E","","E","","E","","E","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"106","","?","0","","A","","D","","D","","D","","B","","B","","C","","A","","B","","B","","C","","E","","D","","B","","E","","B","","C","","D","","E","","D","","D","","D","","B","","B","","B"
"107","","?","0","","C","","C","","D","","D","","D","","B","","A","","A","","C","","A","","D","","C","","D","","B","","D","","A","","E","","D","","D","","D","","D","","D","","A","","A","","A"
"108","","?","0","","B","","D","","D","","D","","B","","A","","B","","A","","B","","C","","C","","C","","B","","B","","C","","B","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"109","","?","0","","B","","D","","D","","D","","B","","D","","C","","A","","C","","B","","D","","B","","E","","C","","D","","B","","C","","C","","D","","D","","D","","D","","C","","B","","C"
"110","","?","0","","B","","D","","D","","D","","B","","B","","C","","A","","C","","A","","D","","A","","A","","C","","C","","C","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"111","","?","0","","B","","C","","D","","D","","B","","B","","C","","A","","C","","A","","D","","B","","D","","B","","C","","A","","B","","D","","D","","D","","D","","D","","A","","B","","A"
"112","","?","0","","B","","D","","D","","D","","B","","D","","B","","A","","C","","E","","C","","B","","C","","C","","C","","B","","B","","C","","D","","D","","D","","D","","C","","B","","B"
"113","","?","0","","A","","C","","E","","D","","C","","D","","B","","A","","D","","C","","D","","C","","C","","B","","C","","A","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"114","","?","0","","B","","B","","D","","D","","A","","D","","A","","C","","D","","A","","D","","D","","D","","D","","D","","B","","D","","D","","D","","D","","D","","D","","B","","A","","A"
"115","","?","0","","A","","C","","D","","D","","A","","B","","C","","A","","A","","C","","D","","A","","B","","A","","B","","B","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"116","","?","0","","B","","","","B","","D","","C","","B","","A","","A","","A","","A","","D","","A","","E","","A","","B","","E","","B","","D","","D","","D","","D","","D","","A","","B","","A"
"117","","?","0","","B","","C","","D","","D","","C","","B","","C","","C","","C","","C","","E","","A","","E","","B","","E","","B","","C","","C","","C","","D","","D","","D","","B","","B","","B"
"118","","?","0","","B","","C","","D","","C","","C","","E","","B","","A","","A","","B","","B","","A","","B","","A","","A","","A","","A","","B","","B","","D","","D","","D","","D","","B","","A"
"119","","?","0","","B","","D","","D","","D","","B","","C","","C","","A","","B","","B","","B","","B","","E","","A","","B","","A","","B","","D","","D","","D","","D","","D","","B","","B","","B"
"120","","?","0","","B","","B","","C","","E","","B","","C","","A","","A","","B","","A","","A","","A","","C","","A","","B","","A","","B","","D","","D","","D","","D","","D","","B","","B","","B"
"121","","?","0","","B","","D","","D","","D","","D","","E","","D","","B","","D","","B","","D","","D","","C","","D","","D","","C","","D","","D","","D","","D","","D","","D","","C","","A","","B"
"122","","?","0","","B","","B","","D","","D","","C","","B","","A","","A","","C","","B","","D","","B","","D","","B","","C","","A","","C","","D","","D","","D","","D","","D","","A","","B","","A"
"123","","?","0","","B","","C","","D","","D","","C","","C","","B","","A","","B","","A","","B","","A","","B","","A","","B","","B","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"125","","?","0","","B","","C","","D","","D","","A","","C","","B","","A","","C","","B","","D","","C","","C","","C","","D","","C","","D","","D","","D","","D","","D","","D","","B","","A","","C"
"126","","?","0","","A","","A","","D","","D","","B","","D","","C","","B","","B","","C","","C","","B","","C","","C","","D","","C","","C","","C","","D","","D","","D","","D","","A","","A","","C"
"127","","?","0","","B","","A","","C","","C","","A","","C","","B","","A","","B","","A","","B","","A","","B","","B","","B","","B","","B","","D","","C","","C","","C","","C","","C","","A","","B"
"128","","?","0","","C","","D","","D","","D","","B","","C","","C","","A","","C","","B","","C","","B","","C","","A","","B","","B","","B","","D","","D","","D","","D","","D","","C","","B","","A"
"129","","?","0","","A","","B","","D","","D","","B","","B","","B","","A","","D","","B","","C","","B","","C","","B","","D","","B","","B","","D","","D","","D","","D","","D","","B","","B","","B"
"130","","?","0","","A","","E","","D","","D","","B","","B","","C","","A","","E","","C","","C","","A","","B","","B","","B","","C","","C","","D","","D","","D","","D","","D","","B","","B","","B"
"131","","?","0","","B","","B","","D","","D","","C","","B","","E","","A","","B","","E","","C","","B","","B","","B","","B","","E","","C","","C","","C","","D","","D","","D","","D","","B","","B"
"132","","?","0","","B","","B","","D","","C","","A","","D","","A","","A","","B","","E","","C","","A","","E","","B","","C","","B","","C","","D","","D","","D","","D","","D","","B","","B","","D"
"133","","?","0","","B","","D","","D","","D","","B","","E","","C","","A","","D","","C","","D","","E","","E","","C","","D","","E","","D","","D","","D","","D","","D","","D","","D","","B","","A"
"134","","?","0","","B","","B","","C","","C","","C","","A","","B","","A","","B","","E","","A","","A","","B","","A","","B","","B","","A","","E","","C","","D","","C","","D","","B","","B","","B"
"135","","?","0","","B","","B","","D","","D","","C","","C","","D","","A","","B","","B","","B","","A","","B","","B","","C","","B","","C","","C","","C","","C","","C","","C","","C","","B","","B"
"136","","?","0","","B","","B","","C","","C","","B","","A","","A","","A","","B","","A","","B","","B","","A","","A","","E","","A","","E","","C","","D","","D","","D","","D","","A","","B","","A"
"137","","?","0","","B","","D","","D","","D","","B","","C","","C","","B","","C","","B","","C","","C","","C","","B","","D","","C","","C","","D","","D","","D","","D","","D","","C","","B","","B"
"138","","?","0","","B","","D","","D","","D","","B","","B","","B","","A","","C","","B","","C","","C","","C","","B","","B","","B","","C","","B","","E","","D","","E","","D","","B","","A","","B"
"139","","?","0","","B","","D","","D","","D","","C","","C","","C","","B","","B","","C","","D","","C","","C","","B","","E","","C","","C","","D","","D","","D","","D","","D","","A","","A","","B"
"140","","?","0","","D","","E","","A","","A","","C","","B","","D","","A","","B","","B","","A","","A","","A","","B","","A","","A","","A","","E","","E","","E","","E","","E","","D","","B","","A"
"141","","?","0","","D","","D","","D","","D","","A","","B","","D","","A","","C","","C","","D","","D","","B","","C","","D","","C","","D","","D","","D","","D","","D","","D","","A","","B","","D"
"142","","?","0","","B","","E","","D","","D","","C","","C","","C","","A","","B","","D","","D","","A","","E","","B","","B","","B","","A","","C","","D","","D","","D","","C","","B","","B","","A"
"144","","?","0","","B","","B","","D","","C","","B","","C","","B","","A","","C","","B","","D","","D","","D","","D","","D","","D","","C","","D","","D","","D","","D","","","","A","","B","","D"
"145","","?","0","","B","","B","","C","","C","","C","","B","","B","","C","","B","","C","","D","","D","","C","","B","","B","","C","","C","","C","","C","","C","","C","","C","","A","","A","","C"
"146","","?","0","","B","","B","","D","","E","","B","","B","","E","","B","","B","","E","","C","","B","","E","","B","","E","","C","","C","","C","","C","","C","","C","","C","","C","","B","","B"
"147","","?","0","","B","","C","","C","","D","","B","","B","","C","","A","","D","","B","","D","","A","","B","","C","","C","","C","","C","","D","","D","","D","","D","","D","","A","","A","","C"
"148","","?","0","","C","","B","","D","","C","","B","","C","","B","","A","","C","","A","","C","","B","","C","","B","","D","","B","","C","","D","","D","","D","","D","","D","","B","","A","","B"
"149","","?","0","","A","","D","","D","","D","","C","","","","","","","","","","B","","C","","A","","C","","B","","A","","E","","B","","D","","D","","D","","D","","D","","C","","B","","B"
"150","","?","0","","B","","D","","D","","D","","C","","B","","C","","A","","B","","E","","C","","B","","E","","B","","D","","B","","B","","D","","D","","D","","D","","D","","B","","B","","A"
"151","","?","0","","B","","B","","B","","D","","C","","C","","C","","B","","B","","C","","B","","A","","E","","B","","C","","C","","E","","D","","D","","D","","B","","D","","C","","A","","C"
"152","","?","0","","B","","C","","E","","C","","C","","C","","B","","E","","A","","E","","C","","A","","B","","D","","C","","A","","A","","C","","C","","C","","E","","D","","D","","B","","C"
"153","","?","0","","A","","D","","D","","D","","B","","E","","B","","A","","C","","B","","D","","B","","C","","A","","C","","B","","C","","D","","D","","D","","D","","D","","A","","B","","B"
"154","","?","0","","C","","D","","D","","D","","C","","B","","B","","A","","A","","A","","A","","A","","D","","A","","A","","A","","A","","D","","D","","D","","D","","D","","A","","B","","A"
"155","","?","0","","B","","C","","E","","D","","B","","B","","A","","A","","B","","A","","E","","C","","E","","B","","E","","B","","B","","D","","D","","D","","D","","D","","B","","A","","B"
"156","","?","0","","C","","C","","D","","D","","C","","B","","C","","E","","C","","C","","D","","D","","A","","B","","D","","C","","C","","A","","E","","E","","C","","D","","C","","B","","C"
"157","","?","0","","B","","B","","C","","D","","B","","D","","D","","A","","B","","C","","D","","D","","B","","C","","D","","B","","D","","D","","D","","C","","D","","E","","B","","A","","B"
"158","","?","0","","A","","D","","D","","D","","B","","B","","C","","A","","B","","B","","C","","E","","B","","C","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"159","","?","0","","B","","C","","D","","D","","C","","B","","C","","C","","D","","B","","D","","D","","C","","C","","C","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"160","","?","0","","C","","C","","D","","D","","A","","B","","A","","A","","C","","B","","D","","C","","D","","C","","D","","B","","C","","D","","D","","D","","D","","D","","A","","A","","B"
